"Statistic","Year","Region","UNIT","VALUE"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Northern and Western","Euro","24216"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Border","Euro","22133"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","West","Euro","26027"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Southern","Euro","34313"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Mid-West","Euro","31165"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","South-East","Euro","26095"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","South-West","Euro","41520"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Eastern and Midland","Euro","42831"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Dublin","Euro","53124"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Dublin and Mid-East","Euro","45497"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Mid-East","Euro","29813"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2005","Midland","Euro","23869"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","State","Euro","38402"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Northern and Western","Euro","26334"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Border","Euro","24506"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","West","Euro","27931"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Southern","Euro","36191"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Mid-West","Euro","32085"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","South-East","Euro","28414"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","South-West","Euro","43846"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Eastern and Midland","Euro","44561"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Dublin","Euro","54142"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Dublin and Mid-East","Euro","47073"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Mid-East","Euro","32763"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2006","Midland","Euro","26879"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","State","Euro","39810"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Northern and Western","Euro","26378"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Border","Euro","24088"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","West","Euro","28388"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Southern","Euro","38283"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Mid-West","Euro","34020"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","South-East","Euro","29934"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","South-West","Euro","46396"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Eastern and Midland","Euro","45950"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Dublin","Euro","56044"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Dublin and Mid-East","Euro","48782"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Mid-East","Euro","34107"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2007","Midland","Euro","26078"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","State","Euro","37446"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Northern and Western","Euro","24783"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Border","Euro","22300"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","West","Euro","26975"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Southern","Euro","35299"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Mid-West","Euro","31582"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","South-East","Euro","28513"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","South-West","Euro","42077"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Eastern and Midland","Euro","43727"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Dublin","Euro","54348"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Dublin and Mid-East","Euro","46642"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Mid-East","Euro","31184"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2008","Midland","Euro","23388"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","State","Euro","34030"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Northern and Western","Euro","22069"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Border","Euro","19053"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","West","Euro","24750"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Southern","Euro","32212"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Mid-West","Euro","27941"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","South-East","Euro","23021"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","South-West","Euro","40870"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Eastern and Midland","Euro","39836"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Dublin","Euro","49712"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Dublin and Mid-East","Euro","42597"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Mid-East","Euro","28523"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2009","Midland","Euro","20773"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","State","Euro","33408"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Northern and Western","Euro","22431"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Border","Euro","18442"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","West","Euro","25993"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Southern","Euro","31283"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Mid-West","Euro","27770"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","South-East","Euro","21766"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","South-West","Euro","39617"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Eastern and Midland","Euro","39062"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Dublin","Euro","51083"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Dublin and Mid-East","Euro","42013"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Mid-East","Euro","24311"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2010","Midland","Euro","18926"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","State","Euro","34280"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Northern and Western","Euro","24456"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Border","Euro","19938"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","West","Euro","28433"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Southern","Euro","33813"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Mid-West","Euro","29142"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","South-East","Euro","21920"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","South-West","Euro","44422"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Eastern and Midland","Euro","38329"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Dublin","Euro","50845"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Dublin and Mid-East","Euro","41171"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Mid-East","Euro","22340"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2011","Midland","Euro","18933"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","State","Euro","34895"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Northern and Western","Euro","24160"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Border","Euro","19115"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","West","Euro","28600"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Southern","Euro","34490"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Mid-West","Euro","30021"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","South-East","Euro","22417"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","South-West","Euro","45069"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Eastern and Midland","Euro","39247"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Dublin","Euro","52400"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Dublin and Mid-East","Euro","42240"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Mid-East","Euro","22463"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2012","Midland","Euro","18822"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","State","Euro","35429"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Northern and Western","Euro","22040"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Border","Euro","18179"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","West","Euro","25439"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Southern","Euro","33758"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Mid-West","Euro","28341"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","South-East","Euro","26747"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","South-West","Euro","41887"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Eastern and Midland","Euro","41669"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Dublin","Euro","56596"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Dublin and Mid-East","Euro","45227"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Mid-East","Euro","23095"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2013","Midland","Euro","17390"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","State","Euro","38186"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Northern and Western","Euro","23159"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Border","Euro","18102"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","West","Euro","27609"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Southern","Euro","35299"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Mid-West","Euro","26784"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","South-East","Euro","25997"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","South-West","Euro","47019"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Eastern and Midland","Euro","45895"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Dublin","Euro","62776"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Dublin and Mid-East","Euro","49866"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Mid-East","Euro","24735"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2014","Midland","Euro","18793"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","State","Euro","52059"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Northern and Western","Euro","24616"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Border","Euro","19300"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","West","Euro","29296"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Southern","Euro","66452"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Mid-West","Euro",""
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","South-East","Euro","31396"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","South-West","Euro",""
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Eastern and Midland","Euro","52417"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Dublin","Euro","68908"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Dublin and Mid-East","Euro","56794"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Mid-East","Euro","33212"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2015","Midland","Euro","22550"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","State","Euro","52770"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Northern and Western","Euro","23653"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Border","Euro","18412"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","West","Euro","28267"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Southern","Euro","61049"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Mid-West","Euro",""
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","South-East","Euro","31276"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","South-West","Euro",""
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Eastern and Midland","Euro","58029"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Dublin","Euro","77157"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Dublin and Mid-East","Euro","63420"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Mid-East","Euro","36678"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2016","Midland","Euro","21248"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","State","Euro","57623"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Northern and Western","Euro","26143"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Border","Euro","21935"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","West","Euro","29846"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Southern","Euro","67766"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Mid-West","Euro",""
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","South-East","Euro","31769"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","South-West","Euro",""
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Eastern and Midland","Euro","62477"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Dublin","Euro","83945"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Dublin and Mid-East","Euro","68375"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Mid-East","Euro","38066"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2017","Midland","Euro","22226"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","State","Euro","62711"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Northern and Western","Euro","26748"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Border","Euro","21809"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","West","Euro","31095"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Southern","Euro","76371"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Mid-West","Euro","54363"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","South-East","Euro","41817"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","South-West","Euro","113136"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Eastern and Midland","Euro","66811"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Dublin","Euro","90293"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Dublin and Mid-East","Euro","73505"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Mid-East","Euro","40824"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2018","Midland","Euro","21138"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","State","Euro","67721"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Northern and Western","Euro","27421"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Border","Euro","22748"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","West","Euro","31475"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Southern","Euro","84452"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Mid-West","Euro","65648"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","South-East","Euro","53576"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","South-West","Euro","116270"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Eastern and Midland","Euro","70987"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Dublin","Euro","96794"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Dublin and Mid-East","Euro","78320"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Mid-East","Euro","42180"
"Gross Value Added (GVA) per person at Basic Prices (Euro)","2019","Midland","Euro","19917"
"Indices of GVA per person at Basic Prices (State=100)","2000","State","State=100","100"
"Indices of GVA per person at Basic Prices (State=100)","2000","Northern and Western","State=100","66.2"
"Indices of GVA per person at Basic Prices (State=100)","2000","Border","State=100","57"
"Indices of GVA per person at Basic Prices (State=100)","2000","West","State=100","74.4"
"Indices of GVA per person at Basic Prices (State=100)","2000","Southern","State=100","94.5"
"Indices of GVA per person at Basic Prices (State=100)","2000","Mid-West","State=100","95"
"Indices of GVA per person at Basic Prices (State=100)","2000","South-East","State=100","68.2"
"Indices of GVA per person at Basic Prices (State=100)","2000","South-West","State=100","109.5"
"Indices of GVA per person at Basic Prices (State=100)","2000","Eastern and Midland","State=100","116.9"
"Indices of GVA per person at Basic Prices (State=100)","2000","Dublin","State=100","141.8"
"Indices of GVA per person at Basic Prices (State=100)","2000","Dublin and Mid-East","State=100","124.3"
"Indices of GVA per person at Basic Prices (State=100)","2000","Mid-East","State=100","84.9"
"Indices of GVA per person at Basic Prices (State=100)","2000","Midland","State=100","62.7"
"Indices of GVA per person at Basic Prices (State=100)","2001","State","State=100","100"
"Indices of GVA per person at Basic Prices (State=100)","2001","Northern and Western","State=100","65.2"
"Indices of GVA per person at Basic Prices (State=100)","2001","Border","State=100","56.4"
"Indices of GVA per person at Basic Prices (State=100)","2001","West","State=100","72.9"
"Indices of GVA per person at Basic Prices (State=100)","2001","Southern","State=100","96.4"
"Indices of GVA per person at Basic Prices (State=100)","2001","Mid-West","State=100","94.4"
"Indices of GVA per person at Basic Prices (State=100)","2001","South-East","State=100","68.2"
"Indices of GVA per person at Basic Prices (State=100)","2001","South-West","State=100","114.4"
"Indices of GVA per person at Basic Prices (State=100)","2001","Eastern and Midland","State=100","115.9"
"Indices of GVA per person at Basic Prices (State=100)","2001","Dublin","State=100","139.3"
"Indices of GVA per person at Basic Prices (State=100)","2001","Dublin and Mid-East","State=100","123.1"
"Indices of GVA per person at Basic Prices (State=100)","2001","Mid-East","State=100","86.9"
"Indices of GVA per person at Basic Prices (State=100)","2001","Midland","State=100","63.8"
"Indices of GVA per person at Basic Prices (State=100)","2002","State","State=100","100"
"Indices of GVA per person at Basic Prices (State=100)","2002","Northern and Western","State=100","66.1"
"Indices of GVA per person at Basic Prices (State=100)","2002","Border","State=100","61.6"
"Indices of GVA per person at Basic Prices (State=100)","2002","West","State=100","70"
"Indices of GVA per person at Basic Prices (State=100)","2002","Southern","State=100","103.2"
"Indices of GVA per person at Basic Prices (State=100)","2002","Mid-West","State=100","83.8"
"Indices of GVA per person at Basic Prices (State=100)","2002","South-East","State=100","70.3"
"Indices of GVA per person at Basic Prices (State=100)","2002","South-West","State=100","136.7"
"Indices of GVA per person at Basic Prices (State=100)","2002","Eastern and Midland","State=100","110.6"
"Indices of GVA per person at Basic Prices (State=100)","2002","Dublin","State=100","130.4"
"Indices of GVA per person at Basic Prices (State=100)","2002","Dublin and Mid-East","State=100","117.7"
"Indices of GVA per person at Basic Prices (State=100)","2002","Mid-East","State=100","90.2"
"Indices of GVA per person at Basic Prices (State=100)","2002","Midland","State=100","59"
"Indices of GVA per person at Basic Prices (State=100)","2003","State","State=100","100"
"Indices of GVA per person at Basic Prices (State=100)","2003","Northern and Western","State=100","65.7"
"Indices of GVA per person at Basic Prices (State=100)","2003","Border","State=100","63.5"
"Indices of GVA per person at Basic Prices (State=100)","2003","West","State=100","67.6"
"Indices of GVA per person at Basic Prices (State=100)","2003","Southern","State=100","102.5"
"Indices of GVA per person at Basic Prices (State=100)","2003","Mid-West","State=100","91.7"
"Indices of GVA per person at Basic Prices (State=100)","2003","South-East","State=100","78.2"
"Indices of GVA per person at Basic Prices (State=100)","2003","South-West","State=100","124.7"
"Indices of GVA per person at Basic Prices (State=100)","2003","Eastern and Midland","State=100","111.3"
"Indices of GVA per person at Basic Prices (State=100)","2003","Dublin","State=100","134.2"
"Indices of GVA per person at Basic Prices (State=100)","2003","Dublin and Mid-East","State=100","66.7"
"Indices of GVA per person at Basic Prices (State=100)","2003","Mid-East","State=100","81.8"
"Indices of GVA per person at Basic Prices (State=100)","2003","Midland","State=100","66.7"
"Indices of GVA per person at Basic Prices (State=100)","2004","State","State=100","100"
"Indices of GVA per person at Basic Prices (State=100)","2004","Northern and Western","State=100","68"
"Indices of GVA per person at Basic Prices (State=100)","2004","Border","State=100","62"
"Indices of GVA per person at Basic Prices (State=100)","2004","West","State=100","73.1"
"Indices of GVA per person at Basic Prices (State=100)","2004","Southern","State=100","96.3"
"Indices of GVA per person at Basic Prices (State=100)","2004","Mid-West","State=100","90.4"
"Indices of GVA per person at Basic Prices (State=100)","2004","South-East","State=100","73.9"
"Indices of GVA per person at Basic Prices (State=100)","2004","South-West","State=100","113.8"
"Indices of GVA per person at Basic Prices (State=100)","2004","Eastern and Midland","State=100","115"
"Indices of GVA per person at Basic Prices (State=100)","2004","Dublin","State=100","139.1"
